,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
French Polynesia,75564,686,0,0,7,10641,4,139,0,0,24,0,0,0,2,8,5,5,6,0,0,0,35,1,0,0,0,0,91,87,0,12,16,2,0,1,0,0,0,0,0,0,83,0,0,0,0,8,3059,25,777,0,0,5,0,0,161,0,0,0,0,0,0,163,0,0,0,0,3675,0,382,0,0,0,0,0,0,2,0,584,0,0,12,2,0,1,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,1,0,3,648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,708,4339827,2811,30,28,116583,5095,15207,0,84,3319,12058,12123,2,115286,1578,43899,3016,27209,0,98,327,4754,140,118,223,10316,1556,73857,3586,437,1264,5546,9179,84,3351,82,651,136,40,5,0,5715,2728,270,29,1445,639,9378,2458,83755,0,2477,61259,23,0,2303,6,483,42,5,0,5,1691,0,0,0,0,252817,465,22923,67,2021,1466,0,0,53,4892,1229,6148,0,11,1552,1563,9,44061,941,17,21947,369,25,382,9,3,87,0,347,3597,339,9,1706,5905,80,330,1049,0,0,573,11,92,346,104,28,155,4871,6,206,22,20,84,6580,42,748,1401,2254,502,50982,9,15,536,318,4,30,32,4,5563,27,32317,8499,173,147,0,0,44,0,1128,0,52,92,3,932,56,4,0,499,1290,91,1369,50,2170,31,4,0,358,171,25791,395,19743,0,0,21,24,1,1222,0,90,1149,55,0,97,0,0,328,0,1562,959,0,82,12,17,0,5,27,0,0,0,249,39978,64,89,83,632,27,67,65,252,0,3,56,25,0,107651,0,0,1458,0,24,2610,593,0,93,0,6,53,0,0,4,3,0,740
Egypt,0,3239,176285,135,3233,14390,1590,129917,2,0,2110,1933,72901,9,4397,7526,2729,0,3128,0,0,1623,8419,178,407,749,0,239865,36315,692,604,106,14296,615,17,17211,30,23470,8744,625,419,98,487,949,7,536,0,5542,17851,3541,2591,0,5257,9927,0,5,36934,0,10276,91,0,9,124,0,30,398,118,6657,86,1424,6614,1813,69,24,0,0,102,8766,1990,232,110,76,10645,5114,0,3901,0,0,2,1461,343,1519,219,3,1,0,124,2176,48,1,0,0,109,2,789,0,0,0,238,4878,82,214,91,40,9,0,155,0,0,55,49,0,1081,2668,7634,107,2995,400,0,5945,325,12,74,397,134,723,57,203,0,203,2075,0,0,115,0,8791,40,25,448,4,1139,903,0,4,228,43,378,9085,3,2021,26,0,0,0,790,1515,1821,336,46,0,0,1,0,162,0,100,7112,4758,0,194,11,0,376,0,656,0,0,1241,0,410,0,0,0,1,0,0,643,181,1647,38,4,0,0,5,0,64675,14,54,51,865,0,228,0,0,125,2,0,0,71,0,4,0,0,0,0,0,0,1,0,0
Somalia,0,16,108,3518,0,8,0,163,0,0,157,118,2570,0,0,44,11,0,7,0,0,0,4,3,0,3735,0,843,1790,0,0,2,135,45,0,1079,0,4,124,24,0,0,0,216,0,3,0,0,31,1030,3,0,0,539,0,0,29,0,142,0,0,1,1032,0,0,0,0,0,9,3,196,11,0,0,0,0,0,57,5771,0,0,0,34,46,0,258,0,0,0,49,0,2,0,6,0,0,0,144,0,0,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,4,0,0,0,10,0,5,0,51,9,0,0,0,9,2,0,3,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,86,0,0,29,0,0,26,0,0,0,0,77,0,0,0,0,0,12,19,11,0,0,0,0,0,0,0,0,404,0,0,0,0,0,1195,0,86,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Algeria,21,108,3989,0,120528,816,36,5026,0,0,260,461,9669,5,394,771,373,0,100,0,0,61,22834,376,600,11,0,7361,6456,22,19,3,2417,3,2,20361,20,2196,94,0,6,370,0,100,6,41,0,8968,151199,246,236,0,183,415,0,0,6217,0,213,0,0,0,0,0,0,464,27,76,2,248,3548,26,7,0,0,0,8,379,8,11,35,0,5798,724,0,105,0,5,0,5,627,141,10,47,0,0,0,43,10,0,0,0,35,0,1373,0,0,0,44,83,0,6,40,3,0,147,2,0,0,7,0,0,110,16,883,4,24,26,0,311,11,1,0,0,487,242,0,8,0,0,32,0,0,19,0,114,31,0,0,0,364,4,0,0,29,0,26,121,0,16,8,0,28,0,4,232,158,129,7,0,1,0,0,0,0,14,3208,8301,0,74,16,0,2,0,43,0,93,8,163,9,0,0,0,0,0,0,77,95,7,27,0,0,0,2,0,220,0,6,3,22,6,152,0,0,10,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
United States,10225,131395,16164,107,1008,45589161,209760,212158,1011,278,42081,20245,42862,52,8868,26139,97185,169,71906,0,48262,8598,120626,1122,1612,8137,45,14672,531960,1166241,6307,147464,62742,1611,76231,48568,451,9052,356,138,166,96,93204,26454,21679,1365,3,6338,208724,32109,357806,0,11417,202779,5787,13558,74355,36207,956,518,916,134,175,311,0,282,199,0,39606,1097,1136628,1579,1051,67570,0,0,143,86742,5728,56865,152,975,33574,21305,17678,8901,468,5868,4455,807,196,6129,50,101,129671,0,66389,20991,8919,71094,1,74,58117,1051,34484,0,2247,417,240117,1945,150606,787,824,123,1443,3841,537,31933,15085,312,4280,19977,3146,82997,3732,340,15903,549,21337,1924,440,78,57,131,517,68277,419,76112,167,85,2442,4509,0,1632,1656,10031,285,133,797,218,11679,783,6,2044,1377,164,2074,26242,143,5624,290,18924,184,0,1681,185844,8287,61692,541,7395,9586,45685,3579,365,0,1712,25023,788,0,1507,93,6,1173,25328,10653,363,182,433,845,155,0,0,0,41425,22,0,569,21937,1604,172,65251,0,0,164215,1316,8054,0,2762,817,3634,0,26361,4,33,503,3,12272,0,327,0,36098,0,1470,189,3682,3,16748,33379,0,0
Brazil,10,4941,1806,0,29,180972,5683537,25264,1222,0,2607,6615,7460,603,473,1889,808,0,2394,0,728,126,29381,7,11,942,0,255,21317,27272,34,18375,13336,67,3846,2643,91,251,25,12,0,42,151464,2718,202,5,0,2621,36482,2809,752,0,1115,3380,8690,125,18109,194,46,30,0,0,4,0,0,4,12,0,1362,41,13889,47,104,28353,0,0,1121,8430,128,79670,14,1403,2261,3236,17,666,7,12997,3,102,13,941,0,6,461,0,3188,96,26031,761,0,0,1151,0,69770,0,0,0,7343,53,2178,158,30,35,2,1,43,70,55,33,88,89,112,5131,987,56,3829,5,60,7,6,0,20,10,90,6096,29,295,5,0,283,0,0,26,13,1387,8,6,8,14,784,10,0,7064,271,3,347,2048,0,131,6,162,801,0,247,606,683,47,0,11,773,121,0,511,0,164,1137,110,0,21,2,0,35,0,1415,0,0,0,842,0,0,0,0,154,2,0,718,137,183,18,398,0,0,564,0,34,2,23,21,1170,0,115,0,445,150,2,0,0,19,23,235,0,0,0,21,0,2,367,0,0
Germany,214,16063,133380,116,4598,230566,24250,1049025,18,0,69977,37902,74076,333,11159,107294,19384,4,11502,0,1392,4571,700939,4270,914,3819,4,6900,425649,25256,3936,5974,176038,11133,3992,308115,8651,8598,1060,109,63,618,7895,60330,11617,1997,0,54029,157717,77481,42780,10,82386,39874,1275,12,408352,368,3292,292,0,14,681,26,0,546,50,0,6822,10521,17851,6082,1477,4758,4,0,345,74039,9163,6719,165,304,36223,202095,18,7745,510,411,16,6112,583,84833,543,709,348,0,2251,7093,891,148,0,1,13615,556,125141,0,1,6,25526,2000,6924,1815,297,186,1330,979,281,114,1,6075,3029,418,58980,51313,7083,597,73052,1865,6429,8524,1215,3262,57,269,274,60917,206,20720,21,19271,42900,146,41,6085,9,16687,399,254,748,1362,63967,8458,0,6551,22662,257,1451,111327,68,2221,7577,5,0,0,11309,23243,64171,7804,442,476,741,16,0,10071,0,21964,5702,16256,0,7890,1353,24,1603,39,54752,8,100,1141,1155,1617,0,0,0,38,14,0,16392,8193,20564,5267,182,0,0,6193,0,3355,5,734,3307,14491,0,25774,0,0,7573,9,28,0,21367,32,516,0,88,133,16,0,13,176,0,0
Suriname,0,0,4,0,0,1181,1030,11,0,0,6,24,22,85,2,11,9,0,54,0,3,0,24,0,0,0,0,0,50,44,0,200,6,9,195,36,0,0,0,0,0,0,6,0,0,0,0,3,12,10,6,0,0,114,0,1451,27,4,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,30,0,0,0,12243,0,14,0,0,5,2,18,14,0,0,0,0,0,5,0,0,2,0,21,0,0,1014,0,0,3419,0,0,0,0,0,375,0,41,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,101,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,338,0,0,0,0,2,3,0,35,1158,3,0,0,0,8,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,27,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,599,0,0,0,0,0,4,78,0,0
Kiribati,0,96,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
