,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Democratic Republic of the Congo,Denmark,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Guatemala,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,9.326293465404904e-06,4.968477980374131e-10,1.0486056438977855e-09,0.0,0.0,1.0167514983368268e-08,1.7351988068576542e-09,1.7253415258929398e-09,2.0411753093805664e-09,0.0,3.3338362191912963e-10,0.0,2.7673887114342987e-09,0.0,0.0,5.715081364334064e-09,3.0263964965313116e-10,0.0,3.926757387244142e-11,2.1683750020411765e-09,0.0,0.0,1.9017917313785029e-10,0.0,3.094702421580909e-09,0.0,4.1272020767728434e-11,1.2797475146451638e-09,5.6588091381632544e-11,0.0,3.906815178044985e-09,0.0,8.209558044222048e-10,0.0,7.600901126962874e-10,3.797852284224296e-08,6.486446933996725e-11,2.629226136570662e-09,2.1221811795880737e-09,0.0,2.916250030332827e-09,4.164463973476322e-10,0.0,3.313085299848779e-10,1.2228213465896324e-10,0.0,6.338356017407278e-10,3.388672239736548e-10,1.4810420363445876e-09,6.941122431846937e-11,1.2695516268769492e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.8974029180523513e-10,0.0,2.636616486358091e-08,1.5443142734341926e-10,4.073997280214443e-08,9.244154376608123e-09,6.183429474058962e-10,2.0481442881966447e-11,5.159785858383247e-10,0.0,3.81991907851476e-10,1.7217306153304402e-09,6.602154827327657e-09,2.2403829026040375e-09,8.127795275785167e-09,1.3946048141751472e-07,4.041204461573414e-10,0.0,2.449899124746764e-09,0.0,7.874002679595484e-10,0.0,7.065015016778439e-11,0.0,1.1177503714900646e-08,0.0,0.0,4.547039362468904e-11,0.0,0.0,0.0,8.640992722140778e-10,0.0,1.751320864471467e-10,2.3498368293544532e-11,2.7912281050621067e-10,2.0117898050255343e-10,0.0,2.001269841729328e-09,8.000518205611297e-10,0.0,3.7988560268906854e-10,0.0,0.0,2.2271765622218666e-10,1.3350933417536578e-09,7.082499433308274e-09,2.267652504780057e-08,7.900792904741896e-11,0.0,0.0,0.0,7.241681539123063e-11,1.260732044749593e-10,9.44217312566904e-11,2.1640575297932615e-10,6.338686644787295e-10,3.095327745821872e-10,3.3582652237367185e-08,2.124171969737831e-10,1.3053547555791847e-09,0.0,9.823397156172473e-09,0.0,1.8207024067254584e-09,6.745118474332608e-10,8.909741514720966e-11,1.3680367609092154e-09,2.6666330143399632e-08,0.0,1.1244620791809516e-09,3.822903472858229e-10,0.0,2.439335768797322e-07,4.0466222028370883e-10,7.618733332522976e-10,0.0,0.0,1.1212998903579088e-09,1.414230794012994e-08,1.0887908966515112e-08,1.3493171475050817e-08,1.0501671686929549e-09,8.943696513744523e-08,2.6493269500697796e-09,8.453726457147795e-10,0.0,5.594903741526598e-08,0.0,0.0,7.960280927266638e-11,0.0,4.0523052564772095e-10,6.998672885967417e-10
Albania,1.571902034577734e-08,0.0,2.4775526949402665e-09,0.0,3.0593887253746617e-09,1.275045016084709e-09,3.023785853808359e-09,9.39275394996718e-08,4.140226356729432e-08,0.0,4.6553012081326026e-10,3.3253093070728853e-09,4.610322749603398e-08,0.0,0.0,0.0,0.0,0.0,1.3757839658257684e-09,8.66513298251e-09,0.0,0.0,2.731217318950259e-10,4.85139932488875e-09,2.24965316477158e-08,1.6224176943656365e-08,0.0,9.497109390458313e-10,2.532652803800615e-10,0.0,6.553794669404402e-08,1.43928622761799e-08,5.340310342404155e-08,1.3127459304394605e-09,5.6581163694303625e-09,0.0,0.0,5.135849492912376e-09,0.0,0.0,5.5228763614185215e-09,6.198378106387814e-10,0.0,3.5261636627137438e-09,9.655905780320723e-09,0.0,0.0,1.8650729400258007e-08,2.546580889551295e-08,2.3519086794850485e-09,2.0545917456012492e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0388043974160267e-07,0.0,7.642034645954565e-10,1.0659393084269833e-09,5.384038333369624e-10,2.234883253079904e-09,1.4059168869404312e-09,1.1410174897671929e-08,2.501743488606939e-07,5.2600325429189664e-08,1.8633078648510293e-10,4.312445532274965e-09,1.6345445591013247e-08,5.79534171291313e-10,4.7754146020747745e-09,2.433200380744156e-07,0.0,4.432446848651396e-09,9.337477950054474e-09,0.0,0.0,0.0,2.7616816121782406e-09,1.4389354037494143e-08,6.2066835072994965e-09,5.072258901276248e-10,0.0,1.110337945135628e-09,0.0,0.0,3.544901413711208e-09,6.4913039328726705e-09,1.8873836139488788e-08,0.0,3.334796241750568e-09,8.254238055664377e-10,0.0,0.0,7.549464730599624e-10,2.155639206850856e-08,0.0,2.34718306331786e-10,0.0,0.0,1.748761779888784e-09,6.807536989332688e-09,5.1349705356975375e-09,3.2390005318414187e-10,3.9133853758813937e-10,0.0,0.0,0.0,1.8288436792935068e-09,4.272662816241829e-09,1.4503754340520584e-09,1.671975976291165e-08,7.756144269374915e-09,0.0,8.407558116939755e-09,7.309397464756051e-10,3.178107465127485e-08,5.811247576083474e-09,0.0,9.979715471737769e-08,0.0,2.533271163291297e-10,1.8487888585253056e-09,2.5680415580737574e-09,8.861871656990262e-10,0.0,5.424004975588356e-09,3.305810077444604e-08,0.0,0.0,1.0790533333873243e-09,3.254403583773008e-10,0.0,0.0,8.749723784463217e-09,1.285769366949202e-07,0.0,2.051795026226865e-09,1.1416895514744846e-08,7.392721725360742e-09,2.579304566526356e-08,1.7244550310806774e-08,4.2698498175707815e-10,1.3412474118743685e-09,0.0,3.690218378502427e-10,5.786210588129401e-11,0.0,0.0,0.0
Algeria,0.002270539644012509,0.0015159522156752462,0.08145970895463477,1.235244668380312e-05,5.100709619622681e-06,0.001030274959436015,2.433387317964378e-06,0.002927105382185336,0.0004240007814521962,1.0296821124621029e-05,8.893003891367514e-05,0.00037249888086685013,0.019121503187830683,0.0,0.0011528170124551291,0.0,9.362282709919888e-06,0.002025743454344853,2.284506800752408e-05,0.0004478665635835838,0.031683980712532415,0.0,7.494219809694301e-06,0.003224859341663905,0.011328703044601844,0.0050839791167852305,4.262295698521318e-06,0.0008548735833880052,2.796185364823954e-05,0.00011567666533383349,0.0011271034487192846,0.00046756623978309446,0.0012945417697840906,0.0006558486551004184,0.0008199453106253984,0.0020575598899954923,0.00019491496744354644,0.012580823964875788,0.0001178926987065487,0.0,0.0001395751895284746,0.0001331980165413145,0.0,0.0002633794802057606,0.056813550964606024,0.009249221090745554,0.0016756534316510476,0.00012801383647761198,0.0029237272967812494,0.0004874473697808936,0.0009495453349941046,0.0,0.0,0.0021356428270891178,0.0,0.0006984560860489448,0.0,0.0027846854977031043,0.0001599212782705746,0.000582987228657007,0.0002234496057635936,0.00495615294621982,0.001334596083146942,0.0009491201250250416,0.00021687998278984065,0.006192378676962688,0.00032293264287052586,0.00031467418147021036,0.011756391886798575,0.0007870163931816785,0.000708756561322764,0.00125737078367369,0.002431023674813016,0.0,0.00023638560946734758,0.022509735194939706,0.018643565741914614,0.0,0.0037209093407831653,0.00014069097520092033,0.0010899392026676514,0.00023376547047391488,3.411218577791533e-05,0.0,1.69136219621736e-05,0.05409858010648184,0.038579520058481614,0.00012098565469737672,0.00037584395814068946,0.0002730073274868028,0.001114264952488075,0.03423014144673827,0.0007949501444555082,2.7897545712368148e-05,0.00016071685360018756,2.182156000227904e-05,0.0007684182833995965,0.0,3.1794693012187765e-06,0.0,0.018833206287030863,0.0021374484145142685,0.0002409360549740162,0.0027300669131072753,0.0006371210719422737,0.00017242853145898478,0.0,0.0,8.06851583737746e-06,0.00033003965418949176,0.00043280840838537263,0.002782016181531517,0.013231803382172343,0.0005882596746398012,0.0002949911030574114,0.010375033696948567,0.0007698730365492305,0.0011952351812515945,0.0011534169486077611,0.0,6.26431189768206e-05,0.0,0.0020932530916531115,0.015533323606886792,5.1166002937261665e-05,0.0019320084842910134,0.0,0.0009555759053092293,0.004950707472851629,0.0,0.003663932646507193,0.0002311562420970188,3.10039061235235e-05,0.000280453106398987,0.0,0.03395828404492427,0.023293163773578675,0.012092724940691161,0.0005148430470161001,0.0005917478309609405,0.013044235361056434,0.0032917589320113987,0.0005959122922898921,0.0,0.002359083590076434,0.0,0.00035709171839594774,2.2103850980579516e-05,0.0,0.00014747227940509333,0.00029820950774613205
Angola,0.0006417261911033978,0.0,0.00031447273919517306,0.16506583390845941,4.057565782141226e-06,0.0003001553261883099,2.6053239947177493e-06,0.0016136697003303866,0.002797879471000951,0.0,1.481722264502249e-05,0.0007088847262344354,0.0221011920367114,0.0,0.0,0.0,0.0,0.03415469732764744,0.002053438772805906,0.00016896637689970916,0.0,0.0,5.5847402641986114e-05,0.0,0.0003993602470874912,0.0,1.315029176940256e-05,0.0007706742919252044,0.00010092642981867821,0.00029007407098255027,0.00216779887047843,0.014782194110794622,5.005855941693331e-05,0.03525431716910988,4.873809643013189e-05,0.0,0.0007758751271034154,0.0016349422782734697,0.0,0.0,2.392702104407075e-05,0.08163624601492937,0.0,0.0001565844303716718,0.0035916612971352816,0.0,0.0,0.00025636524519293496,0.0006603653437777285,0.005717444447953852,5.7693775531492566e-05,0.0,0.0,0.0,0.0,0.0,0.0007255252931561407,0.0011280066672671835,0.0,0.0010284053446968035,0.00014321433777930432,9.515895646308084e-05,0.0,0.00030591910962434534,0.002655099624803413,0.0011238302122968725,0.0,6.636491436347487e-05,0.0003484228263534748,0.0,0.0073769906232812295,0.00020809035373474272,0.0,0.0,0.0006966065556631408,0.007081723677500194,0.01785310626883681,0.0,0.0,0.00016125493262983005,0.0012663403476819372,0.0,0.0,0.004203611765008578,0.0002624572324234395,0.0,0.0,3.966824807971478e-05,0.0002724404166944664,0.0,0.00036143024982016937,0.0011001855159835632,0.08730747154711398,6.596498945395418e-05,0.1439953550794069,2.475853313792028e-05,0.0026863583029182944,0.0,5.247870036589383e-06,0.0,0.0002528996649787129,0.03131795966852042,0.0003727225044995501,8.760254208768432e-05,0.0010521994343009866,0.00020085243616645862,0.0,0.0,0.0,0.0026095707005287824,0.0019772200003856147,0.07342042600335393,0.0008673051539128516,0.0012761817968571182,0.006654527248564403,0.00019372511046351922,0.00028618021404361457,0.003999537668717051,0.0,0.0002944102810733628,0.0002668529133467387,0.0,0.044017809672968845,0.0002589954635694983,3.0126275870021775e-05,0.0017169463967481133,0.0,0.0003160225623925075,0.0007182604490127338,0.0,0.0,0.00783709722210266,0.00028096437895362843,0.0,0.0,0.0008374859599272711,0.00028836923535038904,0.0,0.006324814836278833,0.0009232427005733722,0.005985906360240473,0.001855596795301292,0.0008543312788484667,0.0,0.0,0.0,0.0006059459649048513,0.003043736489098895,0.0,0.07265178287891864,0.0485088634119304
Argentina,0.0,0.00034859034140180474,0.0005288019138539197,3.995360836583154e-05,0.16598698833127348,0.00012189229297378532,0.00037942546080982093,0.007778887782706956,0.0020387149839680334,0.0020514849346129943,7.336572052861307e-06,0.0006230927015154566,0.009759144517004456,0.000128675327672181,0.0,0.0,0.1634885454296864,0.0,0.1562063975247406,0.0030009825743500143,0.0,0.003037770743772711,0.00031034547772109273,0.00021248384394515648,0.01853018705338495,0.0,0.15410193528431873,0.003552624729650079,0.14711073401080257,0.12391627192477982,0.0067303300590953906,0.10049309808111155,0.0005728612731329953,0.0,0.008588473233540408,0.0,0.14079003901446085,0.003379743140437291,0.06626251745500533,0.0,0.004390839893011705,0.001969203315134438,8.875910525370706e-05,0.005011954250601086,0.01599809115721104,0.0,0.0,4.196000468965769e-05,0.007052739116600454,0.00041137505726938656,0.002631195901045254,0.0,0.06154138221389566,0.0,0.03235822794444341,0.00696549604406093,0.05875728417113741,0.004866089339794255,0.0007439607211803639,0.0015986052212530666,0.00016948301682297252,0.00011247484202299797,1.254004534867456e-05,0.003529276594209936,0.0359723077463827,0.01591078850148139,0.08418548033678867,0.002660577302188575,0.000937972736153538,0.0006593870952906265,0.0023357416206950285,0.0004494402178336252,0.0,0.0001441753519433718,0.0009678402631461473,0.0015229933679864187,0.0,0.0,0.0,0.0007219286189964303,0.009542527708033115,0.00013956259322977222,0.01555581938918304,0.0,0.0003393532259074166,0.0,0.0,0.13442413450784568,0.0006786812919908856,0.0,0.0008354380909139119,0.00039761986696710107,0.004705248742884509,0.000886894057414698,0.0001934489174004649,0.0007444910046671775,0.008837318322913597,0.0006825973221795772,0.0019023820014845959,0.06411736281749879,0.0,0.00036806862098721357,0.005161920089863956,0.00012564696841527758,0.00023253465671618648,0.13216203588878497,1.7042115905590908e-05,0.16430784050548095,0.155607370983454,0.0010679621259743995,0.00530225583576303,0.0033218664475965984,0.0024569247776296,0.00204455398538201,0.0013819494329855473,0.00018770765012993335,0.0,0.0019317870164094807,0.0,0.0003984952396816678,0.0018610298162357276,0.0,0.011587898382433237,0.042927729491874844,0.00027043058638328925,0.0009751071807019269,0.045087927702483016,0.006704974493658821,0.012005293166023221,0.0,0.0,0.004881239712696995,0.0038554613204672752,0.0,0.01660210995089625,0.0003718845588123601,0.0031316156767664124,0.0,0.0006496553540455153,0.0021573275113668062,0.0038740926790309556,0.008490803862300843,0.05384894617793929,0.16278986847524887,0.00040593534125754946,0.0,0.14176232387701018,0.00015794141200919186,0.0,0.00042163541637463145,0.00018519914767336313
Armenia,0.02329419883209521,0.00016232752120375624,0.0002103351618180638,3.499126521072184e-05,1.5324451362756647e-05,0.0,6.39066105234508e-06,0.0043026145552695514,0.0,0.0,0.0007420774397413556,0.04241573349213892,0.0070891664458808965,0.0,0.0,0.0,0.0,0.0,7.851917524652863e-06,0.0013290057196013857,0.0,0.0,1.7605022054276586e-05,0.0,0.0005664101260804175,0.008402432483571918,0.0,0.00027156345660603933,3.924496951359323e-06,4.467483228437146e-05,0.00040201549234385013,0.0024815690382102855,0.002430383260228719,0.0,0.0006729411074797363,0.0,0.0,0.010261707517847602,0.0,0.009251351463917276,0.0008245120393460761,5.6839154684272406e-05,0.0,0.0001436130496949094,0.002532942390372667,0.0,0.0,0.10143740619517566,0.0011599261877063957,0.00014158025930002168,0.002698361487709826,0.0,0.0,0.0009864757465007747,0.0,0.0,0.0,0.0005903475045083982,0.0,0.003275828784802027,0.000172972605707155,0.000736368715498815,0.01612756788225189,9.960337980302951e-05,0.004677103060192294,0.00352141034465848,0.0,7.21091717906415e-05,0.0019076515315392401,0.027200673101702547,0.00010412194229051436,0.002634736888330845,0.005604160902284301,0.0,0.0012810144746261683,0.021678878367895085,0.0,0.0,0.0,0.0011445906176053408,0.003784877551548325,0.0002663091635773073,0.0,0.0,0.00014101638307646716,0.0,0.0,0.00014471149820793246,0.002902623379377718,0.0002737897622661248,0.000518894471754203,7.801707247149511e-05,0.0,5.747519660924164e-05,0.0,0.0001447339697736848,0.0014229205830983296,0.0,0.0,0.0,0.0,1.5115338202001018e-05,0.0003827354883018342,0.0023689546978063096,0.004955767889151612,0.0,0.0,0.0,0.0,0.00022324056105394818,0.005664851086781257,6.605193650683048e-05,0.0193000102629666,0.0009179627049584871,0.0,0.0002584043244411079,0.0,0.0008541614731280367,0.0,0.0,0.00017687114190904788,0.0,4.534100242073985e-06,0.0002417004194666963,0.0014974662721383286,0.002337199885579225,0.0,0.0017887601825394542,0.00047248545137836033,0.13135654428864418,0.002077468394055599,0.00017600440764178687,0.00020807474518521216,0.0,0.0,7.170613594334208e-05,0.004147767254326394,0.006450602744059162,0.0016225528965061024,0.02085450506115708,0.009184704507797167,0.00016784627418755076,0.00040205298356267723,0.0,0.0011890253813974865,0.0,0.0,5.7770642304388825e-05,0.0,0.0,0.0
Australia,0.10240700986192919,0.00321761898490472,0.002107050728757068,0.0003538747594360642,0.013594930061735441,0.0067523756487023285,0.24537309491970546,0.013535200639119492,0.007330714670150277,0.00122098593483548,0.00967826798608897,0.0020079565909574136,0.009772631870983137,4.438365714239833e-05,0.0009198417012388534,0.001860321186179301,0.0015533589851211248,0.07201687771098504,0.0098280358527647,0.004092905183563336,0.0035247660834659814,0.06745041375750155,0.12438215721120251,0.0024129202826002403,0.08686036892409886,0.0048242233230422985,0.0354828025979937,0.1235546651201722,0.01881933695692855,0.010751982361826971,0.029543753481356086,0.0015291644467398285,0.009491544682624739,0.002776563134701217,0.01874874467324066,0.017034843017340585,0.013539516668628437,0.020718968103118667,0.046010224601067955,0.09623741586213645,0.005782669726723612,0.0068528167235351566,0.20660977593870247,0.016757219918248644,0.014899298323065635,0.00047783322155886104,0.0009552626169557973,0.0007618413633941875,0.013006044849256592,0.03561070163582565,0.013996214955125133,0.0,0.011795024595122335,0.022244058041645014,0.0,0.0007151823267171562,0.002893225815208049,0.012894536737853846,0.011782729209905694,0.11449332342537334,0.16203453140234222,0.04641602490129849,0.021902880154364594,0.04423773258984385,0.010590006037999191,0.009863289610293528,0.003863891872651529,0.12276071278768404,0.03409519854455907,0.0027020318353201244,0.06293789092742737,0.005933557004994047,0.0058986724077915624,0.09775040849838607,0.002098408635117162,0.06531678144475037,0.009125819182752364,0.017747183593985517,0.0,0.0024193433572048204,0.0033545382509866874,0.035521791174444727,0.03465958571038292,0.04183331137030847,0.11239474729770475,0.0023758005202615196,0.00437208615220633,0.01725156752507453,0.000948362216695392,0.14594370273416007,0.007040341926659512,0.0032428541080888277,0.011421301379526032,0.08941564131144976,0.005293491503957244,0.11526582657485636,0.015832828918451825,0.21238245149546972,0.23561304367501568,0.01973571283187828,0.0001976146337424897,0.026433559280629886,0.01786063645101912,0.010118962124452293,0.0954589225626915,0.002555951648329588,0.2448033979508979,0.002957069625491539,0.013298877230484715,0.13358213599403554,0.008263312055701024,0.0026228883054272324,0.032830613292570844,0.0028785168115564807,0.009563830215031871,0.004848614218230146,0.003823171648192417,0.014851672100659033,0.014221022197795648,0.0004306184784859355,0.007949236067610974,0.014344445134612673,0.07285070516551671,0.00449202420929383,0.13595300004720676,0.052038784334264905,0.010149883551078572,0.015838370741009525,0.018711646468807592,0.0,0.0001902665059869132,0.03364243122511611,0.09545455865474654,0.002229016874804516,0.01376949466817158,0.001387664958450381,0.007730770121980427,0.0,0.05421986921516664,0.0027488121438933636,0.03683441970858456,0.052483345928305836,0.06471467658992587,0.014635306830692377,0.0027939300100945637,0.23269907894464434,0.00017388739243576245,0.12751849692301692,0.0,0.04268223092754353,0.09250771740568718
Austria,0.016204201213929455,0.10531103913083743,0.011587771953515152,0.0008186689658052823,0.0014604883168531366,0.02941174537330143,9.379366785101994e-05,0.033737927907629965,0.020648863239766543,0.0008394025157370044,0.0007931104721712002,0.03855722190970765,0.059216162640658154,9.387800573485279e-05,0.010765437683124969,0.0,0.00029476039377682124,0.0051811992859484915,0.003412838005685068,0.08664306334339072,0.003708769322011968,0.009271027457117343,0.003793140479082638,0.010485615916146171,0.006810621488189753,0.03778192850130862,0.0024129668147355224,0.0043223832501783225,0.005075679171670354,0.013542751531781987,0.04215841462428363,0.023257470295031956,0.062664016557075,0.003472119071665426,0.0658156543126175,0.033034248640421586,0.006243137245007354,0.02598809055743719,0.0031800995647063342,0.011387065317748447,0.04631920115554963,0.007922476745203345,0.00013794097382904252,0.0465133991085973,0.029786365540881474,0.0018563021845400133,0.018856194055967626,0.02183753056700327,0.09666174452207048,0.01292122074377996,0.07611824096312482,0.0,0.014773484601287084,0.01183753392345484,0.002384709323262061,0.00027868652646626614,0.039633270808556435,0.0011335351429612986,0.06374830311148869,0.006640109482900052,0.0016925433655326219,0.024712939182982438,0.0069074035403839966,0.03666944282387931,0.06506549664930579,0.03773053245155374,0.004168231485988311,0.0049607626533436705,0.005953688388523187,0.01574323186867588,0.026068312120860724,0.004805949540961305,0.06837849011505999,0.007612998466628322,0.0698077033612571,0.008382911229076362,0.0023787462116117253,0.0011480810562407725,0.0,0.054971307395263735,0.12761566047317874,0.07936621322275417,0.014949239058971728,0.004712748472452081,0.001616453423953586,0.004191872749447856,0.0008952829066178758,0.0071601054283235085,0.08412673245735885,0.01601683009485624,0.07713805755694282,0.018944949681544015,0.008415595944203342,0.008031494571900034,0.013667150502092969,0.002067917509056203,0.11751814874429611,0.00013800112773491692,0.0003420734778639108,0.012620666960928754,0.005346031389029119,0.04316523465069807,0.06503107912685197,0.005076939770892293,0.006759793203922674,0.012470945610678949,2.09982320640135e-05,0.002449985353254518,0.0031742385543853395,0.008368681771053104,0.04242158849807933,0.028245958967336,0.0061545758553560375,0.0628050120304564,0.007836219280155838,0.0026020475673981455,0.007095439396676038,0.1183360587819026,0.006100367689017173,0.026723322466947853,0.003313905734846941,0.027776669247234157,0.014666976759559051,0.034142298118057766,0.008772244671812911,0.015031861071414859,0.019079795759025717,0.05978560508815834,0.06287603450311606,0.0,0.0727258659698861,0.038102162483940306,0.022411453174347794,0.005514507457697285,0.015337983381224912,0.02368851089083038,0.04077056102071846,0.00946043103174458,0.01630485506424901,0.07779704281535442,0.01237081261533872,0.04966140633465955,0.007804672549419388,0.0013741375616173161,0.019482399179461693,0.0,0.0026169567682238853,0.00631188504520213,0.0,0.0038870739098163976,0.010443710102977595
Azerbaijan,0.0002277771290963386,0.0005606058230263295,0.00011502305885042995,0.00014390232743484874,5.899829675225158e-06,0.0,3.5291390942799066e-06,0.0008952242186211116,0.0469316504533005,0.0,0.0004497325549585902,0.024907585030219503,0.0005226624720778667,0.0,0.0002574269098351998,0.0,1.064524854152376e-05,0.0007484249907036277,7.871317578904805e-05,0.0005868648358304924,0.0,0.0,1.6271107072789732e-05,0.0,0.00020787770310917142,0.0,4.259558589293253e-06,0.00039708590726578755,4.639744681373734e-05,0.0,0.0030163830126038386,2.1790459796080028e-05,0.0019405353741238087,4.2338109691877706e-05,0.000312018457792202,0.0,4.137556933528909e-05,0.0007662286127934691,0.0,0.006223034965045018,0.000986737871909751,5.449759940278581e-05,0.0,0.0006439310256752731,0.0005461117846473395,7.024044234308594e-05,0.0,0.02104604224224786,0.000712727363499261,0.00020402458793417308,0.0002162650215704244,0.0,0.0,0.0,0.0,0.0,0.0,0.009535216565366685,0.0,0.0019505684685773288,0.00016694566639919648,0.043633571038778914,0.05483596164900028,8.362104056497788e-05,0.0063487216936891355,0.00044017288420227424,0.0,6.820204820347296e-05,0.0010657189604366352,0.06291260044445345,0.00033580774219305775,0.03981161819891724,0.00721848938680876,0.0,0.0024995897452279345,0.001792082987652245,0.0,0.0,0.0,0.0017719873119313694,0.0010193393025926766,0.00013409085033440704,0.0,0.0,0.0002669748212485212,0.0,0.00029894302819371573,4.310196092122437e-05,0.001493019248442666,0.00020267079048025746,0.0046189830033115335,0.0001380528496527322,0.0,9.800423661809935e-05,3.057703416392992e-05,0.0013347651651529947,0.0006124920126690954,0.0,1.2786587037511745e-05,0.0,0.0,0.0006576680519292088,0.00035598177027985146,0.0060779164493127225,0.019131484057347322,2.468470202865486e-05,0.0,0.0,0.0,7.435572277780159e-05,0.0007380937244032881,7.057946382918317e-05,0.011074266715350728,0.0003761558895242776,0.00033052293307661183,0.00563999359176981,5.4007406280965826e-05,0.0009583797463376006,0.0,0.0001511891524568871,0.0019021600945628618,0.0,0.00029333510613599,0.00017524243025596406,0.0018431113951457364,0.005305088712115318,0.0,0.0005280012029442845,0.0006073420291649581,0.000767904267829052,0.003306876990910666,6.279269067746939e-05,0.0002949477425140875,0.0,0.000389152986104379,0.00031927538644785494,0.033450906139581314,0.0045719355542057204,0.00010065763834961772,0.01636173346922837,0.013401047175483821,0.0010616135706701354,0.00021705251924295185,6.73944960504344e-06,0.052449632607278716,0.0,0.00021355112418390372,7.114925759909981e-05,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0001610248440331833,0.0,1.8658602268379669e-06,0.0001347211777608095,5.214885607227651e-05,0.23016803036804745,0.0,0.0,9.527126343430261e-05,3.101321129791652e-05,0.0,0.0,0.0001632381153043276,0.0,0.0003076537745781274,0.0001260775873323921,0.0,0.0,0.0,0.0,0.029063806482270912,0.0,0.00022221063929707941,1.646557326132896e-05,0.002423616077933698,0.0036849602365547334,3.493090443543796e-05,0.011167362750413376,1.9382648921182738e-05,0.0,4.769125680997911e-05,0.0,0.0015112567659448222,2.7123186052830614e-06,0.0024078284005720554,0.0,0.0,5.208978288323108e-06,0.0,7.128818579097373e-06,0.0007614279384715369,0.0,0.0,7.0770004091402e-06,0.00013827479733270165,0.0025135857121093845,4.6325105305551315e-05,0.0,0.01094333608672894,0.0,0.046273503661456744,0.18163676002754572,0.005164818509958269,7.973960474763443e-05,0.0,6.256699237734325e-05,2.10755464012921e-06,0.0,0.0,7.9823068378135e-05,0.0003843536191414042,7.199433769703977e-05,0.03806460806959341,4.539484658421015e-05,0.0,0.0,0.00019213152081795488,0.0,0.0,0.0,0.00013760614575430153,4.209912691709403e-06,0.0,0.0,0.0,4.6849694219434575e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008755686256841752,0.0,0.0,9.034198626802051e-05,0.0,0.0,0.0,3.6135743707827715e-05,0.0,6.0979647224358946e-05,0.0,1.2467880842764504e-06,0.023465994409757402,0.0,0.000912587058283029,4.757329785783914e-05,0.0,7.533993782549467e-06,0.00988890949456956,0.0,0.0015798759974604653,0.0006473051644097786,3.381522589882355e-05,5.4026709498514675e-06,1.5110530246877362e-05,4.9680381788102576e-05,0.00016454369820688775,0.0,0.0,0.0008745616402670954,2.8895828862532046e-05,0.0,0.0,0.0,0.0,0.00020048218031908736,3.979445013756383e-05,8.20398183199468e-06,8.535605560348929e-05,0.00719066720141105,8.608711020679148e-05,0.00029304041097525226,0.0,0.0,0.0,1.1389980393534378e-06,0.0,0.07254110566414224,0.0,0.0,0.0,7.292535191289367e-05,1.1272967619937295e-06,2.779186174354134e-05,0.0008337924906083185,0.031461682406405185,0.00035636644605444105,0.00013029183039300893,0.0,0.001257492202911512,0.0,0.0,0.0,0.0
